prod_name,Collection,supplier,brand,color,pattern,category,cat_name,link,image,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,residential,mural,stripes,floral
WA7786,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,BEIGE,NA,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7786.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
WP2413,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,PURPLE,SILVER,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2413.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
ER8187,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,WHITE,GREEN,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8187.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
WA7826,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,WHITE,PURPLE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7826.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,
ER8211,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,PURPLE,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8211.jpg,,,,PATTERN,CONTEMPORARY,,,,,,,STRIPES,
WP2514,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,WHITE,PURPLE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2514.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
WP2444,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,PINK,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2444.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
ER8236,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,BEIGE,NA,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8236.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
WP2465,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,BEIGE,GREEN,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2465.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,,FLORAL
ER8241,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,ORANGE,NA,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8241.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
WP2494,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,BEIGE,NA,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2494.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,
WP2455,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,MUSTARD,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2455.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,
WP2412,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,MUSTARD,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2412.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
WA7787,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,GREY,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7787.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
WP2497,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,MUSTARD,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2497.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,
WP2512,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,GREY,NA,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2512.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
ER8189,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,WHITE,PINK,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8189.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
WA7821,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,PINK,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7821.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,,,,,
WP2446,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,MUSTARD ,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2446.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
ER8190,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,GREY,ORANGE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8190.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
ER8239,WAVERLY_SMALL_PRINTS,YORK,WAVERLY,BLUE,NA,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8239.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
