prod_name,Collection,supplier,color,pattern,category,link,image,brand,cat_name,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,mural,stripes
Y6130503,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",GREY,SILVER,dorado,#,/images/dorado/Y6130503.jpg,XYZ,dorado, -, -,GEOMETRIC, -, -, -, -, -, -, -, -
Y6130202,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",SILVER,NA,dorado,#,/images/dorado/Y6130202.jpg,XYZ,dorado, -,TEXTURE, -, -, -, -, -, -, -, -, -
Y6130201,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",BEIGE,GOLDEN,dorado,#,/images/dorado/Y6130201.jpg,XYZ,dorado, -,TEXTURE, -, -, -, -, -, -, -, -, -
Y6130802,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",GREY,SILVER,dorado,#,/images/dorado/Y6130802.jpg,XYZ,dorado, -,TEXTURE, -, -, -, -, -, -, -, -, -
Y6130806,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",SILVER,BLACK,dorado,#,/images/dorado/Y6130806.jpg,XYZ,dorado, -,TEXTURE, -, -, -, -, -, -, -, -, -
Y6130901,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",BEIGE,SILVER,dorado,#,/images/dorado/Y6130901.jpg,XYZ,dorado, -, -, -, -, -, -,DAMASK, -, -, -, -
Y6130902,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",BLUE,BEIGE,dorado,#,/images/dorado/Y6130902.jpg,XYZ,dorado, -, -, -, -, -, -,DAMASK, -, -, -, -
Y6131103,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",WHITE,SILVER,dorado,#,/images/dorado/Y6131103.jpg,XYZ,dorado, -, -, -,PATTERN, -, -, -, -, -, -, -
Y6131104,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",GREY,SILVER,dorado,#,/images/dorado/Y6131104.jpg,XYZ,dorado, -, -, -,PATTERN, -, -, -, -, -, -, -
Y6131101,DORADO,"NINGBO BONNY WALLCOVERINGS CO., LTD",BROWN,GOLDEN,dorado,#,/images/dorado/Y6131101.jpg,XYZ,dorado, -, -, -,PATTERN, -, -, -, -, -, -, -
