prod_name,collection,supplier,brand,color,pattern,category,cat_name,link,image,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,residential,mural,stripes
CHR 2836 21 41,CHROME,CASADECO,ABC,GOLD,GOLD,CHROME,chrome,#,/images/CHROME/CHR 2836 21 41.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,
CHR 2837 21 08,CHROME,CASADECO,ABC,GOLD,NA,CHROME,chrome,#,/images/CHROME/CHR 2837 21 08.jpg,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,
CHR 2837 11 23,CHROME,CASADECO,ABC,WHITE,NA,CHROME,chrome,#,/images/CHROME/CHR 2837 11 23.jpg,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,
CHR 2835 31 10,CHROME,CASADECO,ABC,COPPER,NA,CHROME,chrome,#,/images/CHROME/CHR 2835 31 10.jpg,,TEXTURE,GEOMETRIC,PATTERN,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,
CHR 2837 31 44,CHROME,CASADECO,ABC,COPPER,NA,CHROME,chrome,#,/images/CHROME/CHR 2837 31 44.jpg,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,
CHR 2839 91 29,CHROME,CASADECO,ABC,WHITE,SILVER,CHROME,chrome,#,/images/CHROME/CHR 2839 91 29.jpg,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,STRIPES
CHR 2835 01 09,CHROME,CASADECO,ABC,WHITE,SILVER,CHROME,chrome,#,/images/CHROME/CHR 2835 01 09.jpg,,TEXTURE,GEOMETRIC,PATTERN,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,
CHR 2835 91 37,CHROME,CASADECO,ABC,SILVER,BEIGE,CHROME,chrome,#,/images/CHROME/CHR 2835 91 37.jpg,,TEXTURE,GEOMETRIC,PATTERN,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,
CHR 2836 91 27,CHROME,CASADECO,ABC,GREY,SILVER,CHROME,chrome,#,/images/CHROME/CHR 2836 91 27.jpg,,,GEOMETRIC,PATTERN,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,
CHR 2837 20 32,CHROME,CASADECO,ABC,GOLD,NA,CHROME,chrome,#,/images/CHROME/CHR 2837 20 32.jpg,,TEXTURE,,,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,
CHR 2835 19 03,CHROME,CASADECO,ABC,GREY,YELLOW,CHROME,chrome,#,/images/CHROME/CHR 2835 19 03.jpg,,TEXTURE,GEOMETRIC,PATTERN,CONTEMPORARY,,,,COMMERCIAL/CAFÉ,RESIDENTIAL,,
