prod_name,Collection,supplier,brand,color,pattern,category,cat_name,link,image,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,mural,stripes
MS6417,MODERN_SHAPES,YORK,CARY LIND DESIGNS,BEIGE,WHITE,Modern Shapes,shapes,#,/images/modern/MS6417.jpg,,,,PATTERN,,,,,,,
EB2098,MODERN_SHAPES,YORK,CARY LIND DESIGNS,PALE VIOLET RED,NA,Modern Shapes,shapes,#,/images/modern/EB2098.jpg,PLAIN,,,,,,,,,,
MS6408,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,RASPBERRY PINK,Modern Shapes,shapes,#,/images/modern/MS6408.jpg,-,-,-,PATTERN,,,,,,,
MS6401,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CORNSILK,HONEYDEW,Modern Shapes,shapes,#,/images/modern/MS6401.jpg,,,,PATTERN,,,,,,,
MS6482,MODERN_SHAPES,YORK,CARY LIND DESIGNS,HONEYDEW,WHITE,Modern Shapes,shapes,#,/images/modern/MS6482.jpg,,,,PATTERN,,,,,,,
EB2101,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CORNFLOWER,NA,Modern Shapes,shapes,#,/images/modern/EB2101.jpg,PLAIN,-,,,,,,,,,
MS6409,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CREAM,LIGHT KHAKHI,Modern Shapes,shapes,#,/images/modern/MS6409.jpg,-,-,-,PATTERN,,,,,,,
MS6416,MODERN_SHAPES,YORK,CARY LIND DESIGNS,PEARL,WHITE,Modern Shapes,shapes,#,/images/modern/MS6416.jpg,-,-,-,PATTERN,,,,,,,
MS6485,MODERN_SHAPES,YORK,CARY LIND DESIGNS,FLAVESCENT,WHITE,Modern Shapes,shapes,#,/images/modern/MS6485.jpg,-,-,-,PATTERN,,,,,,,
MS6451,MODERN_SHAPES,YORK,CARY LIND DESIGNS,GOLDEN ROD,WHITE,Modern Shapes,shapes,#,/images/modern/MS6451.jpg,-,-,-,PATTERN,,,,,,,
MS6476,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CREAM,GOLDEN,Modern Shapes,shapes,#,/images/modern/MS6476.jpg,-,-,-,PATTERN,-,-,-,,,,
MS6509,MODERN_SHAPES,YORK,CARY LIND DESIGNS,BEIGE,SILVER,Modern Shapes,shapes,#,/images/modern/MS6509.jpg,PLAIN,-,-,,,,,,,,
MS6459,MODERN_SHAPES,YORK,CARY LIND DESIGNS,FLAX,WHITE,Modern Shapes,shapes,#,/images/modern/MS6459.jpg,-,-,-,PATTERN,,,,,,,
MS6448,MODERN_SHAPES,YORK,CARY LIND DESIGNS,ANDROID GREEN,WHITE,Modern Shapes,shapes,#,/images/modern/MS6448.jpg,-,,,PATTERN,,,,,,,
MS6461,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,GREY,Modern Shapes,shapes,#,/images/modern/MS6461.jpg,-,-,,PATTERN,,,,,,,
MS6507,MODERN_SHAPES,YORK,CARY LIND DESIGNS,BEIGE,SILVER,Modern Shapes,shapes,#,/images/modern/MS6507.jpg,PLAIN,,,,,,,,,,
MS6474,MODERN_SHAPES,YORK,CARY LIND DESIGNS,PEARL,WHITE,Modern Shapes,shapes,#,/images/modern/MS6474.jpg,-,-,-,PATTERN,,,,,,,
MS6449,MODERN_SHAPES,YORK,CARY LIND DESIGNS,LIGHT CYAN,WHITE,Modern Shapes,shapes,#,/images/modern/MS6449.jpg,-,-,-,PATTERN,,,,,,,
MS6472,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CREAM,WHITE,Modern Shapes,shapes,#,/images/modern/MS6472.jpg,,,,PATTERN,,,,,,,
MS6505,MODERN_SHAPES,YORK,CARY LIND DESIGNS,BEIGE,CREAM,Modern Shapes,shapes,#,/images/modern/MS6505.jpg,,TEXTURE,,,,,,,,,
MS6457,MODERN_SHAPES,YORK,CARY LIND DESIGNS,MINT CREAM,GREY,Modern Shapes,shapes,#,/images/modern/MS6457.jpg,-,-,-,PATTERN,,,,,,,
MS6453,MODERN_SHAPES,YORK,CARY LIND DESIGNS,EGGSHELL,WHITE,Modern Shapes,shapes,#,/images/modern/MS6453.jpg,-,-,-,PATTERN,,,,,,,
MS6458,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,GREY,Modern Shapes,shapes,#,/images/modern/MS6458.jpg,-,-,-,PATTERN,,,,,,,
MS6505,MODERN_SHAPES,YORK,CARY LIND DESIGNS,BEIGE,CREAM,Modern Shapes,shapes,#,/images/modern/MS6505.jpg,,TEXTURE,,,,,,,,,
MS6473,MODERN_SHAPES,YORK,CARY LIND DESIGNS,BLOND,WHITE,Modern Shapes,shapes,#,/images/modern/MS6473.jpg,,,,PATTERN,,,,,,,
MS6460,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,ORANGE,Modern Shapes,shapes,#,/images/modern/MS6460.jpg,-,-,-,PATTERN,,,,,,,
NW6515,MODERN_SHAPES,YORK,CARY LIND DESIGNS,MEDIUM CHAMPAGNE,NA,Modern Shapes,shapes,#,/images/modern/NW6515.jpg,PLAIN,,,,,,,,,,
MS6491,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CADMIUM ORANGE,GOLDEN,Modern Shapes,shapes,#,/images/modern/MS6491.jpg,,,,PATTERN,,,,,,,
MS6452,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CADMIUM ORANGE,WHITE,Modern Shapes,shapes,#,/images/modern/MS6452.jpg,,,,PATTERN,,,,,,,
MS6425,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,CAMBRIDGE  BLUE,Modern Shapes,shapes,#,/images/modern/MS6425.jpg,,,,PATTERN,,,,,,,
MS6441,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,ALICE BLUE,Modern Shapes,shapes,#,/images/modern/MS6441.jpg,-,,,PATTERN,,,,,,,
EB2099,MODERN_SHAPES,YORK,CARY LIND DESIGNS,ALICE BLUE,NA,Modern Shapes,shapes,#,/images/modern/EB2099.jpg,PLAIN,,,,,,,,,,
MS6433,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,ALICE BLUE,Modern Shapes,shapes,#,/images/modern/MS6433.jpg,,,,PATTERN,,,,,,,
MS6426,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,ORANGE,Modern Shapes,shapes,#,/images/modern/MS6426.jpg,,,,PATTERN,,,,,,,
MS6442,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE`,PALE SILVER,Modern Shapes,shapes,#,/images/modern/MS6442.jpg,-,-,-,PATTERN,,,,,,,
NW6516,MODERN_SHAPES,YORK,CARY LIND DESIGNS,PALE SILVER,NA,Modern Shapes,shapes,#,/images/modern/NW6516.jpg,PLAIN,-,-,,,,,,,,
MS6434,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,PASTEL SILVER,Modern Shapes,shapes,#,/images/modern/MS6434.jpg,-,,,,,,,,,,
MS6424,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,LIGHT GOLDEN YELLOW,Modern Shapes,shapes,#,/images/modern/MS6424.jpg,,,,PATTERN,,,,,,,
MS6440,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,PALE GOLDEN ROD,Modern Shapes,shapes,#,/images/modern/MS6440.jpg,,,,PATTERN,,,,,,,
NW6517,MODERN_SHAPES,YORK,CARY LIND DESIGNS,IVORY,NA,Modern Shapes,shapes,#,/images/modern/NW6517.jpg,PLAIN,,,,,,,,,,
MS6432,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,LIGHT GOLDEN YELLOW,Modern Shapes,shapes,#,/images/modern/MS6432.jpg,,,,PATTERN,,,,,,,
MS6427,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,GREEN,Modern Shapes,shapes,#,/images/modern/MS6427.jpg,,,,PATTERN,,,,,,,
MS6443,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,LIGHT GREEN,Modern Shapes,shapes,#,/images/modern/MS6443.jpg,,,,PATTERN,,,,,,,
NW6516,MODERN_SHAPES,YORK,CARY LIND DESIGNS,PALE SILVR,NA,Modern Shapes,shapes,#,/images/modern/NW6516.jpg,PLAIN,,,,,,,,,,
MS6435,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,PALE SILVER,Modern Shapes,shapes,#,/images/modern/MS6435.jpg,,,,PATTERN,,,,,,,
MS6428,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CREAM,ALICE BLUE,Modern Shapes,shapes,#,/images/modern/MS6428.jpg,-,-,-,PATTERN,,,,,,,
MS6436,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CREAM,GOLDEN,Modern Shapes,shapes,#,/images/modern/MS6436.jpg,,,,PATTERN,,,,,,,
EB2101,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CADET BLUE,NA,Modern Shapes,shapes,#,/images/modern/EB2101.jpg,PLAIN,-,,,,,,,,,
MS6444,MODERN_SHAPES,YORK,CARY LIND DESIGNS,PALE BROWN,SILVER,Modern Shapes,shapes,#,/images/modern/MS6444.jpg,,,,PATTERN,,,,,,,
MS6427,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,MAGENTA,Modern Shapes,shapes,#,/images/modern/MS6427.jpg,,,,PATTERN,,,,,,,
EB2101,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CADET BLUE,NA,Modern Shapes,shapes,#,/images/modern/EB2101.jpg,PLAIN,,,,,,,,,,
NW6515,MODERN_SHAPES,YORK,CARY LIND DESIGNS,PALE BROWN,NA,Modern Shapes,shapes,#,/images/modern/NW6515.jpg,PLAIN,,,,,,,,,,
NW6516,MODERN_SHAPES,YORK,CARY LIND DESIGNS,PALE SILVER,NA,Modern Shapes,shapes,#,/images/modern/NW6516.jpg,PLAIN,,,,,,,,,,
EB2100,MODERN_SHAPES,YORK,CARY LIND DESIGNS,JUNE BUD,NA,Modern Shapes,shapes,#,/images/modern/EB2100.jpg,PLAIN,,,,,,,,,,
EB2099,MODERN_SHAPES,YORK,CARY LIND DESIGNS,ALICE BLUE,NA,Modern Shapes,shapes,#,/images/modern/EB2099.jpg,PLAIN,,,,,,,,,,
EB2098,MODERN_SHAPES,YORK,CARY LIND DESIGNS,PALE RED VIOLET,NA,Modern Shapes,shapes,#,/images/modern/EB2098.jpg,PLAIN,,,,,,,,,,
WT4549,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CANARY,NA,Modern Shapes,shapes,#,/images/modern/WT4549.jpg,PLAIN,,,,,,,,,,
WT4548,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CORNFLOWER BLUE,NA,Modern Shapes,shapes,#,/images/modern/WT4548.jpg,PLAIN,,,,,,,,,,
NW6517,MODERN_SHAPES,YORK,CARY LIND DESIGNS,ALOMOND WITH SILVER SHINE,NA,Modern Shapes,shapes,#,/images/modern/NW6517.jpg,PLAIN,,,,,,,,,,
,,,,,,,,,,PLAIN,,,,,,,,,,
,,,,,,,,,,PLAIN,,,,,,,,,,
