prod_name,Collection,supplier,color,pattern,category,cat_name,link,image,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,residential,mural,stripes,floral
JC5952,OPAL_ESSENCE,YORK,BLUE,WHITE,opal essence,opal,#,/images/opal/JC5952.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,,
JC5962,OPAL_ESSENCE,YORK,GREY,WHITE,opal essence,opal,#,/images/opal/JC5962.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
JC5953,OPAL_ESSENCE,YORK,GREY,WHITE,opal essence,opal,#,/images/opal/JC5953.jpg,,,,PATTERN,,TRADITIONAL,DAMASKS,,,,,,
JC5963,OPAL_ESSENCE,YORK,BEIGE,NA,opal essence,opal,#,/images/opal/JC5963.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
JC6032,OPAL_ESSENCE,YORK,SILVER,NA,opal essence,opal,#,/images/opal/JC6032.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
JC5974,OPAL_ESSENCE,YORK,SILVER,BEIGE,opal essence,opal,#,/images/opal/JC5974.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
JC6029,OPAL_ESSENCE,YORK,SILVER,NA,opal essence,opal,#,/images/opal/JC6029.jpg,,TEXTURE,,,,,,,,,,,
JC5971,OPAL_ESSENCE,YORK,SILVER,GREY,opal essence,opal,#,/images/opal/JC5971.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
JC6033,OPAL_ESSENCE,YORK,SILVER,NA,opal essence,opal,#,/images/opal/JC6033.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
JC5976,OPAL_ESSENCE,YORK,SILVER,BEIGE,opal essence,opal,#,/images/opal/JC5976.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
JC5972,OPAL_ESSENCE,YORK,GOLD,BEIGE,opal essence,opal,#,/images/opal/JC5972.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
JC6030,OPAL_ESSENCE,YORK,GOLD,NA,opal essence,opal,#,/images/opal/JC6030.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
JC6031,OPAL_ESSENCE,YORK,SILVER,NA,opal essence,opal,#,/images/opal/JC6031.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
JC5973,OPAL_ESSENCE,YORK,SILVER,WHITE,opal essence,opal,#,/images/opal/JC5973.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
JC5975,OPAL_ESSENCE,YORK,SILVER,PURPLE,opal essence,opal,#,/images/opal/JC5975.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,
JC6034,OPAL_ESSENCE,YORK,SILVER,GREY,opal essence,opal,#,/images/opal/JC6034.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,,
JC5930,OPAL_ESSENCE,YORK,SILVER,PINK,opal essence,opal,#,/images/opal/JC5930.jpg,,,,PATTERN,,TRADITIONAL,,,,,,,FLORAL
JC6013,OPAL_ESSENCE,YORK,GREY,NA,opal essence,opal,#,/images/opal/JC6013.jpg,,TEXTURE,,,CONTEMPORARY,,,,,,,STRIPES,
