prod_name,Collection,supplier,brand,color,pattern,category,cat_name,image,style,plain,texture,geometric,Pattern,comtemporary,traditional,damasks,kids,commercial,mural,stripes
GE3624,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,/images/ashford/GE3624.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3630,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,ORANGE,WHITE,ashford geometrics,ashford,/images/ashford/GE3630.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3625,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,WHITE,ashford geometrics,ashford,/images/ashford/GE3625.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3629,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREEN,WHITE,ashford geometrics,ashford,/images/ashford/GE3629.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3627,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,/images/ashford/GE3627.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3626,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREY,WHITE,ashford geometrics,ashford,/images/ashford/GE3626.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3628,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,SILVER,ashford geometrics,ashford,/images/ashford/GE3628.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3715,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE ,BLUE,ashford geometrics,ashford,/images/ashford/GE3715.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3714,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,WHITE,ashford geometrics,ashford,/images/ashford/GE3714.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3712,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GOLD,WHITE,ashford geometrics,ashford,/images/ashford/GE3712.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3713,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,SILVER,WHITE,ashford geometrics,ashford,/images/ashford/GE3713.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3716,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,SILVER,BLACK,ashford geometrics,ashford,/images/ashford/GE3716.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3608,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,GREY,ashford geometrics,ashford,/images/ashford/GE3608.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3609,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,BEIGE,ashford geometrics,ashford,/images/ashford/GE3609.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
GE3613,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,RED,ashford geometrics,ashford,/images/ashford/GE3613.jpg,XYZ,NA,NA,GEOMETRIC,PATTERN,CONTEMPORARY,NA,NA,NA,NA,NA,NA
